REQ_ID,AREA,FILE,ANCHOR,STATEMENT,TYPE,PRIORITY,STATUS,MILESTONE,ACCEPTANCE
REQ-ACCEPTANCE-006,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M5,"Pass the integrated M5 transport/trade/FX golden gate over the canonical orchestrator with sparse links, finite FX, exact settlement accounting, shipment ownership and deterministic replay.",acceptance,P0,READY,M5,"Deterministic multi-region/multi-currency goldens prove link/inventory bounds, FX-limited shrinkage before goods mutation, exact buyer/pool/seller reconciliation, named tariff/fee/tax recipients, no double-owned in-transit goods, deterministic sparse-link allocation independent of insertion order, and closed-border/zero-capacity/zero-usable-FX cases halt affected trade without corrupting local markets; all earlier gates remain green."
REQ-VISUALIZATION-010,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone preview scope (M0–M12),"Publish the mandatory one-way M5 Transport/Trade/FX Milestone Preview showing active links/shipments, trade volumes and finite FX liquidity/rate movement from deterministic canonical output.",functional,P1,READY,M5,"GitHub Pages visibly explains at least one M5 route from source supply through capacity/dispatch/fees/FX to destination arrival, with link capacity/use, shipment state, import/export volume, FX reserves and spot movement shown with units/exact values; scarcity/blocked states are explicit; desktop/narrow/error-state smoke passes; preview generation is deterministic, state-immutable and economic-RNG neutral."
REQ-CLAN-001,CLAN,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,18. Clan entity and preferences,"Implement M6 ClanState/ClanStateRelation institutional state, relation lifecycle, bounded preferences/network effects, loyalty and deterministic influence derived from measurable presence rather than magic accumulation.",functional,P0,READY,M6,"Tests prove Clan population/wealth/employment/geographic presence remain derived from canonical stocks; relation lifecycle is deterministic; loyalty adapts gradually within bounds; influence normalizes from population/assets/income/political-capital evidence; preference/network effects cannot directly mutate productivity, births, taxes, cash or capacity; shuffled enumeration yields the same normalized result."
REQ-CLAN-002,CLAN,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,20. Clan ownership and dividends,"Implement M6 Clan treasury ownership flows: ProductionUnit dividends, quarterly member distributions and capped owner capital injection using canonical wallets, shared commitments and settleFx when currencies differ.",invariant,P0,READY,M6,Every Clan/unit/cohort cash movement is debit-once/credit-once; distributions preserve currency denomination and use deterministic bounded weights; owner injection cannot reuse reserved Clan cash or exceed unit funding gaps; cross-currency funding uses the single finite canonical FX pool and partial FX fill proportionally shrinks injection; no debt/interest claim is created.
REQ-FISCAL-001,FISCAL,06 - Handoff/07 — STATE_FISCAL_LAWS_CONTRACTS.md,3. Tax transaction record,"Implement M6 State tax authority and exactly-once timing for wage withholding, consumption tax, tariffs and standardized Phase-10 business-profit tax using canonical jurisdiction and collection-efficiency semantics.",invariant,P0,READY,M6,"Tests prove payer debit equals State collected credit for every tax; assessed-but-uncollected tax remains with payer and creates no arrears asset; Phase-5 wage tax, Phase-4/8 consumption tax and Phase-7 tariff are never debited again in Phase 10; profit tax uses standardized positive operating profit, current Phase-1 jurisdiction and protected-cash bounds; mixed tax flows reconcile treasury exactly."
REQ-FISCAL-002,FISCAL,06 - Handoff/07 — STATE_FISCAL_LAWS_CONTRACTS.md,9. Household transfers,"Implement M6 Phase-10 household transfers and explicit grants/subsidies with shared State cash commitments, deterministic underfunding rationing and no reopening of already-closed market phases.",functional,P0,READY,M6,"Eligible transfers/grants debit treasury and credit recipients exactly once; insufficient cash scales competing requests deterministically without overdraft; Clan loyalty/support cannot directly choose household transfer amounts; grants change cash only and cannot directly create output, capital, settlement, health or other stocks; Phase-10 receipts affect market demand only next tick."
REQ-FISCAL-003,FISCAL,06 - Handoff/07 — STATE_FISCAL_LAWS_CONTRACTS.md,11. State procurement,"Implement M6 State procurement through ordinary MarketIntent/clearing, real-goods Phase-12 public infrastructure formation and State-owned ProductionUnits using the same production/labor/capital constraints as other units.",functional,P0,READY,M6,"State procurement has no implicit priority, cannot spend above envelopes, and unfilled orders consume no cash or create goods; public infrastructure increases only by consuming owned recipe goods once and depreciates once; State-owned ProductionUnits use ordinary recipes/labor/markets/lifecycle; owner injections/dividends are explicit cash transfers; no special free production or duplicate procurement payment exists."
REQ-FISCAL-004,FISCAL,06 - Handoff/07 — STATE_FISCAL_LAWS_CONTRACTS.md,20. Institutional/policy update,Concretize M6 StateFiscalState/FiscalPolicyState/InstitutionalProfile and the pure Phase-1 effective law/policy query boundary; review-time policy decisions are bounded and activate prospectively through PendingTransitions only.,functional,P0,READY,M6,"The six canonical mutable policy dimensions and State fiscal/legal state validate as finite/bounded; law-gate APIs are side-effect-free and read only Phase-1 effective state; Phase-14/15 policy decisions cannot alter current-tick taxes, borders, property, labor, migration or FX treatment; activated changes occur only at the documented next-tick boundary; laws never perform arbitrary direct stock mutation."
REQ-FISCAL-005,FISCAL,06 - Handoff/07 — STATE_FISCAL_LAWS_CONTRACTS.md,14. Sovereign debt schema,Implement M6 StateBond/BondHolding persistent schema plus deterministic planned primary sovereign issuance and Phase-1 execution with multi-holder support and shared financial commitments.,functional,P0,READY,M6,StateBond principalOutstanding equals summed BondHolding principal shares; issuance is financing rather than revenue; buyer cash and State treasury move exactly once with matched principal/holding creation; allocation is budget-capped and stable-ID deterministic; foreign purchase reuses the single finite M5 settleFx pool and partial FX fill reduces purchased principal without creating receivables; no secondary market/private credit is introduced.
REQ-FISCAL-006,FISCAL,06 - Handoff/07 — STATE_FISCAL_LAWS_CONTRACTS.md,16. Debt service/default — Phase 10,"Implement M6 Phase-10 sovereign debt service, pro-rata underfunding/default/restructuring, fiscal stress/budget planning and bounded emergency fiscal rules without monetary-policy behavior.",invariant,P0,READY,M6,"Interest/principal service obeys canonical Phase-10 cash precedence and never overdraws treasury; underfunding allocates available cash pro rata with deterministic residual handling; repayment and restructuring reduce matched State liability/holder assets symmetrically; ordinary Clan-held service conserves currency, while MonetaryAuthority holder semantics remain delegated to M7; fiscal stress/emergency rules alter planning constraints only and create no cash or direct macro-stock effects."
REQ-MIGRATION-005,MIGRATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,"Milestone 6 — States, fiscal flows, laws, clans and sovereign debt","Remove all canonical runtime dependencies on legacy City, Pop, Market and Deal after equivalent M0–M6 canonical coverage is proven; physical legacy archival/deletion is optional and must not break retained migration/regression gates.",migration,P0,READY,M6,"Canonical TypeScript runtime/build has no import, mutation or read dependency on legacy City/Pop/Market/Deal; M0–M6 regression and retained .NET gates remain green; no legacy-to-canonical bidirectional stock mirroring is reintroduced; any archive/delete step occurs only after equivalent canonical evidence exists and never weakens required regression coverage."
REQ-ACCEPTANCE-007,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M6,Pass the integrated M6 State/Clan/fiscal/law/debt golden gate over the canonical orchestrator while preserving all M3–M5 accounting and deterministic replay invariants.,acceptance,P0,READY,M6,"Deterministic mixed M6 goldens prove per-State/per-currency treasury identity, exactly-once taxes, transfer/grant/procurement accounting, Clan ownership/distribution/injection conservation, prospective law causality, matched debt issuance/service/default, shared finite-FX use and stable replay; no M7 monetary-policy behavior is pulled forward and every earlier milestone gate remains green."
REQ-VISUALIZATION-011,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone preview scope (M0–M12),"Publish the mandatory one-way M6 State/Clan/Fiscal/Debt Milestone Preview with treasury flows, taxes/transfers/procurement, debt, Clan ownership/influence and effective policy context from deterministic canonical output.",functional,P1,READY,M6,"GitHub Pages visibly shows opening/flow/closing treasury identity, named tax/transfer/procurement/debt components, Clan ownership/distribution/influence summaries and effective law/policy context with exact values/units and plain-English causal explanation; unavailable/error states and desktop/narrow smoke pass; generation is deterministic, state-immutable and economic-RNG neutral."
REQ-MONETARY-004,MONETARY,06 - Handoff/08 — MONETARY_CURRENCY_CONTRACTS.md,2. Canonical persistent schema,"Implement canonical Currency/MonetaryAuthority state plus independent-float, monetary-union and foreign-legal-tender membership/issuer invariants without creating State-local policy authority or implicit currency creation.",functional,P0,READY,M7,"Schema/regime tests prove one issuer authority per issued currency, canonical authority membership, one shared policy rate for monetary-union members, no policyAuthorityId/membership for foreign-legal-tender States, canonical serialization, and no implicit union accession or successor-State currency creation."
REQ-MONETARY-005,MONETARY,06 - Handoff/08 — MONETARY_CURRENCY_CONTRACTS.md,5. CPI and inflation measurement,"Implement tax-inclusive household CPI, chained inflation and lagged activity/depreciation policy observations from realized/last-valid canonical market and production facts; zero trade must not imply zero price and diagnostics must not mutate real stocks.",functional,P0,READY,M7,"Fixture tests prove lagged basket weights, finite chained CPI/inflation, monetary-union aggregation, explicit shortage/no-trade handling, activity/depreciation observations from prior-close facts only, and zero mutation of prices, productivity, inventories, cash, capital or other real stocks."
REQ-MONETARY-006,MONETARY,06 - Handoff/08 — MONETARY_CURRENCY_CONTRACTS.md,7. Policy-rate rule,"Implement the bounded lagged monetary-policy rule and future MonetaryOperationPlan decision boundary using completed prior-close signals only, with inertia/max-step/rate bounds and N+1 activation through PendingTransitions.",functional,P0,READY,M7,"Policy tests prove target-gap/activity responses use only completed prior-close observations, respect configured bounds/inertia/max step, are deterministic, activate no earlier than N+1, and current-tick price/event shocks cannot retroactively change the already-effective policy rate or executed operations."
REQ-MONETARY-007,MONETARY,06 - Handoff/08 — MONETARY_CURRENCY_CONTRACTS.md,8. Monetary operation plan,"Implement deterministic Phase-1 MonetaryAuthority sovereign-bond OMO planning/execution over existing BondHoldings with shared financial commitments, explicit partial fills and exact issuer-currency issuance/destruction.",functional,P0,READY,M7,"OMO tests prove eligible purchase/sale selection and stable residual allocation, no cash/principal double-use, purchases issue exactly filled own-currency cash while leaving StateBond principal unchanged, sales destroy exactly received issuer currency, fills respect cash/principal/counterparty caps, and no private-credit or secondary-market system is introduced."
REQ-MONETARY-008,MONETARY,06 - Handoff/08 — MONETARY_CURRENCY_CONTRACTS.md,12. Central-bank-held debt service,Implement MonetaryAuthority-held sovereign debt service plus typed issuance/destruction provenance so issuer-side own-currency receipts are never spendable wallet cash and matched debt assets/liabilities remain symmetric.,invariant,P0,READY,M7,"Authority-held principal repayment debits State treasury, destroys exactly received issuer currency and reduces matched StateBond/BondHolding principal equally; coupon payment destroys the received issuer currency without reducing principal; cumulativeIssued/cumulativeDestroyed and typed supply-change records reconcile exactly; ordinary Clan-held service remains conservative."
REQ-MONETARY-009,MONETARY,06 - Handoff/08 — MONETARY_CURRENCY_CONTRACTS.md,3. Transaction money supply,"Implement exact per-currency M_tx reconciliation across actor, FX-pool and authority-owned components plus explicit FX-pool capitalization/reserve semantics, reusing the single finite M5 FX pool through Phase 11.",invariant,P0,READY,M7,"Every currency satisfies M_tx_close = M_tx_open + recorded issuance - recorded destruction; ordinary transfers and FX ownership moves conserve each currency globally; issuer-funded pool capitalization creates exactly recorded issuance, private-wallet capitalization conserves M_tx, issuer own-currency is never stored as spendable cash, Phase-11 repricing changes quotes but not inventories, and no subsystem-local FX pool appears."
REQ-ACCEPTANCE-008,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M7,"Pass the integrated M7 monetary/currency golden gate over the canonical orchestrator while preserving all M3–M6 accounting, finite-FX, fiscal/debt and deterministic replay invariants.",acceptance,P0,READY,M7,"Deterministic M7 goldens cover independent currencies, monetary union, foreign legal tender, recession/inflation responses, OMO purchase/sale, authority-held debt service, FX-liquidity pressure and multi-currency mixed ticks; per-currency M_tx identities, CPI/policy causality, bond symmetry, shared FX competition and byte-stable replay all hold without banks/private credit, and every earlier milestone gate remains green."
REQ-VISUALIZATION-012,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone preview scope (M0–M12),"Publish the mandatory one-way M7 Monetary/Currency Milestone Preview showing CPI/inflation, policy rate and decision inputs, transaction-money issuance/destruction decomposition, authority/regime membership and finite FX reserve/rate context.",functional,P1,READY,M7,"GitHub Pages shows exact values/units for CPI/inflation, effective/next policy state, M_tx opening/issuance/destruction/closing identity, OMO fill/failure context, authority/regime membership and finite FX reserves/rates with plain-English causal explanation; unavailable/error states and desktop/narrow smoke pass; generation is deterministic, state-immutable and economic-RNG neutral."
REQ-POPULATION-004,POPULATION,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,12. Demographic cadence and annual-to-monthly conversion,"Implement M8 Phase-13 demographic state transitions: health/prosperity updates, births, deaths, aging, adjacent-stratum mobility, zero-population cleanup and deterministic cohort merge without duplicating migration ownership.",functional,P0,READY,M8,"World population changes only by births minus deaths; aging/mobility/reclassification conserve population, cash and household inventory; births create no cash/inventory; deaths preserve surviving aggregate cohort stocks; mobility is adjacent-stratum only; zero-pop cleanup leaves no orphan balances; identical cohorts merge deterministically with exact stock sums and stable weighted state; keyed randomness and shuffled registry order produce identical normalized results."
REQ-EXPANSION-001,EXPANSION,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,16. Migration candidate generation and scoring,"Implement M8 route-constrained organized/spontaneous migration candidate generation and bounded flow planning from wages/prosperity, settlement capacity, borders and Clan network evidence.",functional,P0,READY,M8,"Unreachable, closed-border or zero-capacity destinations receive zero planned flow; Clan networks may change attractiveness but never bypass route/border/capacity gates; outbound plans respect configured migration caps and dependent availability; candidate enumeration, scoring and residual allocation are deterministic and stable-order independent."
REQ-EXPANSION-002,EXPANSION,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,17. Migration transaction and wallet/inventory preservation,"Execute M8 migrant and dependent transfers with exact population conservation, proportional wallet/inventory transfer, subsidy/fee settlement and canonical settleFx where currencies differ.",invariant,P0,READY,M8,"Migration reduces source and increases destination population by the same amount; proportional wallet/inventory transfer preserves denomination and goods totals; dependent flow never exceeds source CHILD/ELDER availability; subsidies/fees debit and credit exactly once; FX scarcity proportionally shrinks or blocks flow through the single canonical finite FX pool; no teleport, overdraft or implicit conversion occurs."
REQ-EXPANSION-003,EXPANSION,06 - Handoff/09 — EXPANSION_SETTLEMENT_CONTRACTS.md,5. Settlement project funding and goods,"Implement M8 SettlementProject/SurveyProject registries, funding reservation, ordinary market procurement, owned-goods consumption and Phase-12 physical progress.",functional,P0,READY,M8,"Project funding cannot exceed committed cash; procurement uses ordinary MarketIntent/settlement with no implicit priority or free goods; progress consumes only actually owned project inventory once; cancellation releases unspent cash and preserves unconsumed goods; completion changes settlement/knowledge state only and creates no population, money, ProductionUnit, TransportLink or resource stock."
REQ-EXPANSION-004,EXPANSION,06 - Handoff/09 — EXPANSION_SETTLEMENT_CONTRACTS.md,8. Resource discovery,Implement M8 knowledge-only deterministic resource discovery plus LocalMarket activation/dormancy lifecycle without changing true deposits or deleting market history/stocks.,functional,P0,READY,M8,"UNKNOWN deposits cannot support extraction; discovery advances only at the canonical cadence and never changes true deposit quantity/quality/depletion; keyed discovery is insertion-order independent; market activation follows canonical population/active-production evidence; dormancy uses hysteresis, preserves history and all real/financial stocks, and reactivation is possible after resettlement."
REQ-EXPANSION-005,EXPANSION,06 - Handoff/09 — EXPANSION_SETTLEMENT_CONTRACTS.md,11. Peaceful incorporation,"Implement M8 competing claims, pending peaceful incorporation and abandonment/settlement decline with prospective N+1 jurisdiction causality and preserved private ownership.",functional,P0,READY,M8,Only eligible unclaimed Regions may be incorporated; competing claims choose the deterministic highest score with stable State-ID tie-break; incorporation is pending until the next-tick activation boundary; current-tick tax/border/FX treatment cannot change retroactively; private ownership and deposits are preserved; abandonment decays settlement only after its configured window and deletes no private stocks or controller history.
REQ-EXPANSION-006,EXPANSION,06 - Handoff/09 — EXPANSION_SETTLEMENT_CONTRACTS.md,12. Minimal state formation,"Implement M8 minimal successor-State formation with consecutive-review eligibility, deterministic IDs and exact public succession accounting while preserving private stocks and predecessor sovereign debt.",invariant,P0,READY,M8,"Formation requires the documented consecutive reviews and bounded candidate rule; successor State ID is deterministic; world population, private goods/wallets and transaction money are conserved except independent recorded monetary operations; transferred public cash/assets debit predecessor and credit successor exactly once; predecessor sovereign debt is not duplicated/transferred in core v1; successor defaults to FOREIGN_LEGAL_TENDER with preserved issuer, null policy authority and no automatic monetary-union membership or new currency."
REQ-ACCEPTANCE-009,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M8,Pass the integrated M8 demography/migration/expansion/succession golden gate over the canonical orchestrator while preserving all M3–M7 accounting and deterministic replay invariants.,acceptance,P0,READY,M8,"Deterministic M8 goldens cover births/deaths/aging/mobility, route-constrained migration and settlement, project progress, discovery/market lifecycle, incorporation/abandonment and successor-State formation; population/goods/money identities close exactly, jurisdiction changes are prospective, stable IDs/keyed RNG survive shuffled registry order, and every earlier milestone gate remains green."
REQ-VISUALIZATION-013,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone preview scope (M0–M12),Publish the mandatory one-way M8 Demography/Expansion/Succession Milestone Preview from deterministic canonical output.,functional,P1,READY,M8,"GitHub Pages visibly explains population change with births/deaths/migration, settlement/project progress, discovery/market lifecycle and jurisdiction/succession changes using exact values/units and causal text; conservation/timing boundaries are visible; unavailable/error states plus desktop/narrow smoke pass; generation is deterministic, state-immutable and economic-RNG neutral."
